Contract,Interval,SolQDebug_Latency_s,Remix_PureDebug_s,Speedup
AOC_BEP,0,1.307782,73.304600,56.1x
AOC_BEP,2,1.314326,146.609200,111.5x
AOC_BEP,5,1.431707,366.523000,256.0x
AOC_BEP,10,1.362771,733.046000,537.9x
ATIDStaking,0,0.317421,105.068120,331.0x
ATIDStaking,2,0.309171,210.136240,679.7x
ATIDStaking,5,0.330497,525.340600,1589.5x
ATIDStaking,10,0.312094,1050.681200,3366.6x
AloeBlend,0,0.070480,43.339540,614.9x
AloeBlend,2,0.064598,86.679080,1341.8x
AloeBlend,5,0.087753,216.697700,2469.4x
AloeBlend,10,0.063669,433.395400,6807.0x
Amoss,0,0.073512,40.624920,552.6x
Amoss,2,0.066818,81.249840,1216.0x
Amoss,5,0.086343,203.124600,2352.5x
Amoss,10,0.070387,406.249200,5771.7x
AvatarArtMarketPlace,0,1.881411,,
AvatarArtMarketPlace,2,2.147660,,
AvatarArtMarketPlace,5,2.503547,,
AvatarArtMarketPlace,10,3.014990,,
Balancer,0,1.045687,53.541760,51.2x
Balancer,2,1.137803,107.083520,94.1x
Balancer,5,1.340225,267.708800,199.7x
Balancer,10,1.537367,535.417600,348.3x
BitBookStake,0,0.022004,30.837940,1401.5x
BitBookStake,2,0.037179,61.675880,1658.9x
BitBookStake,5,0.036813,154.189700,4188.5x
BitBookStake,10,0.037454,308.379400,8233.6x
CitrusToken,0,0.041617,,
CitrusToken,2,0.042324,,
CitrusToken,5,0.046200,,
CitrusToken,10,0.042971,,
Claim,0,0.057401,32.046100,558.3x
Claim,2,0.061124,64.092200,1048.6x
Claim,5,0.058960,160.230500,2717.6x
Claim,10,0.061037,320.461000,5250.3x
Core,0,0.428349,57.484620,134.2x
Core,2,0.510210,114.969240,225.3x
Core,5,0.693235,287.423100,414.6x
Core,10,1.064581,574.846200,540.0x
CoreVoting,0,0.049532,31.583560,637.6x
CoreVoting,2,0.050125,63.167120,1260.2x
CoreVoting,5,0.050941,157.917800,3100.0x
CoreVoting,10,0.059987,315.835600,5265.1x
Dai,0,0.155006,74.618000,481.4x
Dai,2,0.160854,149.236000,927.8x
Dai,5,0.161417,373.090000,2311.3x
Dai,10,0.157020,746.180000,4752.1x
DapiServer,0,0.082809,45.314660,547.2x
DapiServer,2,0.080767,90.629320,1122.1x
DapiServer,5,0.081753,226.573300,2771.4x
