Contract,Runs,Mean_PureDebug_s,Std_s,CI95_s,Median_s,Min_s,Max_s
AOC_BEP,5,73.304600,12.129164,10.631681,65.857400,64.790300,92.564600
ATIDStaking,5,105.068120,6.516900,5.712315,102.367400,99.523500,115.683600
AloeBlend,5,43.339540,10.429499,9.141859,39.990400,34.642700,61.269100
Amoss,5,40.624920,5.321781,4.664747,38.840100,37.191500,50.025600
AvatarArtMarketplace,5,46.493140,21.275226,18.648558,32.147800,30.270300,69.837600
BEP20,5,38.494320,28.267319,24.777398,21.122200,15.762000,70.973100
Balancer,5,53.541760,3.126708,2.740681,52.448100,51.695000,59.090500
BitBookStake,5,30.837940,3.307359,2.899028,29.558800,28.801000,36.673500
Claim,5,32.046100,0.733293,0.642760,31.657100,31.481900,33.276500
Core,5,57.484620,4.907423,4.301546,54.893900,53.639200,65.366500
CoreVoting,5,31.583560,1.351634,1.184759,31.612000,30.293900,33.654900
Dai,5,74.618000,2.270986,1.990607,73.912900,72.378900,77.941600
DapiServer,5,45.314660,1.353799,1.186657,44.700300,44.112000,47.347500
DeltaNeutralPancakeWorker02,5,59.492300,0.505948,0.443483,59.505300,58.806100,60.096300
Dripper,5,51.483380,3.792030,3.323861,49.669900,48.785400,58.019500
ERC20,5,47.681340,1.419551,1.244292,47.191600,46.752900,50.192800
EdenToken,5,61.705280,1.069082,0.937091,61.281300,61.060600,63.596900
GovStakingStorage,5,128.651360,5.559506,4.873122,124.607800,124.573800,134.839700
GreenHouse,5,125.638840,25.981266,22.773584,113.700700,110.334700,171.284800
HubPool,5,59.644920,2.597404,2.276725,58.966300,57.350400,63.685000
Lock,5,51.884200,1.702347,1.492173,51.503400,50.165500,53.744900
LockupContract_c.sol,5,54.508420,2.441531,2.140097,54.156900,51.986800,58.544100
MockChainlinkOracle,5,41.897480,1.947463,1.707026,41.861500,40.018900,45.029500
OptimisiticGrants,5,52.576000,0.188028,0.164814,52.571300,52.362600,52.800600
PercentageFeeModel,5,55.358240,1.063868,0.932522,54.904000,54.341700,57.023800
PoolKeeper,5,52.919380,2.179760,1.910644,52.257200,50.198300,55.841500
ThorusBond,5,37.150960,3.982855,3.491126,35.012200,33.333300,42.773100
ThorusLottery,5,26.599680,0.388661,0.340677,26.589600,26.243700,27.226400
TimeLockPool,5,33.051900,15.368034,13.470676,25.935900,24.892100,60.442500
WASTR,5,25.606600,0.364799,0.319760,25.687100,25.144500,25.988100
