Contract,Interval,Runs,Mean_Latency_s,Std_s,CI95_s,Median_s,Min_s,Max_s
AOC_BEP,0,5,1.307782,0.053179,0.046613,1.321003,1.215332,1.351428
AOC_BEP,2,5,1.314326,0.069388,0.060821,1.291698,1.263958,1.435402
AOC_BEP,5,5,1.431707,0.330315,0.289534,1.302250,1.253259,2.020263
AOC_BEP,10,5,1.362771,0.125998,0.110442,1.288948,1.261013,1.522603
ATIDStaking,0,5,0.317421,0.024827,0.021762,0.307294,0.303549,0.361600
ATIDStaking,2,5,0.309171,0.012084,0.010592,0.315568,0.294750,0.319598
ATIDStaking,5,5,0.330497,0.033707,0.029546,0.320795,0.304930,0.389451
ATIDStaking,10,5,0.312094,0.007093,0.006218,0.313441,0.300658,0.319840
AloeBlend,0,5,0.070480,0.023266,0.020394,0.060110,0.050709,0.108109
AloeBlend,2,5,0.064598,0.011863,0.010398,0.059975,0.055921,0.085455
AloeBlend,5,5,0.087753,0.053509,0.046903,0.061978,0.055903,0.181938
AloeBlend,10,5,0.063669,0.009340,0.008187,0.059003,0.056125,0.079139
Amoss,0,5,0.073512,0.021463,0.018813,0.066056,0.058931,0.111339
Amoss,2,5,0.066818,0.000559,0.000490,0.066822,0.066155,0.067546
Amoss,5,5,0.086343,0.047673,0.041787,0.065305,0.062984,0.171573
Amoss,10,5,0.070387,0.008959,0.007853,0.067284,0.063442,0.085089
AvatarArtMarketPlace,0,5,1.881411,0.081694,0.071608,1.908858,1.787065,1.987510
AvatarArtMarketPlace,2,5,2.147660,0.035309,0.030950,2.155681,2.108075,2.196810
AvatarArtMarketPlace,5,5,2.503547,0.229834,0.201458,2.417215,2.370621,2.913152
AvatarArtMarketPlace,10,5,3.014990,0.017708,0.015522,3.010969,2.996843,3.036077
Balancer,0,5,1.045687,0.018706,0.016396,1.044564,1.016132,1.062021
Balancer,2,5,1.137803,0.021205,0.018587,1.138357,1.110661,1.167928
Balancer,5,5,1.340225,0.091032,0.079793,1.315943,1.255358,1.454919
Balancer,10,5,1.537367,0.018306,0.016046,1.532726,1.518873,1.561926
BitBookStake,0,5,0.022004,0.000724,0.000635,0.022425,0.021040,0.022693
BitBookStake,2,5,0.037179,0.000613,0.000538,0.037404,0.036387,0.037917
BitBookStake,5,5,0.036813,0.001025,0.000898,0.036630,0.035764,0.038528
BitBookStake,10,5,0.037454,0.001375,0.001206,0.037909,0.035275,0.038875
CitrusToken,0,5,0.041617,0.001936,0.001697,0.042102,0.038787,0.043657
CitrusToken,2,5,0.042324,0.001696,0.001487,0.042561,0.039900,0.044607
CitrusToken,5,5,0.046200,0.007833,0.006866,0.044313,0.040849,0.059873
CitrusToken,10,5,0.042971,0.000438,0.000384,0.042972,0.042400,0.043515
Claim,0,5,0.057401,0.000805,0.000706,0.057348,0.056388,0.058562
Claim,2,5,0.061124,0.008804,0.007717,0.057478,0.055828,0.076786
Claim,5,5,0.058960,0.001738,0.001523,0.058453,0.057728,0.061971
Claim,10,5,0.061037,0.008998,0.007888,0.058106,0.053285,0.076526
Core,0,5,0.428349,0.030649,0.026865,0.412573,0.405060,0.480007
Core,2,5,0.510210,0.025232,0.022117,0.509199,0.486797,0.549293
Core,5,5,0.693235,0.035916,0.031482,0.674655,0.671378,0.756048
Core,10,5,1.064581,0.011198,0.009815,1.063347,1.048209,1.076541
CoreVoting,0,5,0.049532,0.004212,0.003692,0.048375,0.044646,0.054435
CoreVoting,2,5,0.050125,0.002859,0.002506,0.048884,0.047779,0.054963
CoreVoting,5,5,0.050941,0.002368,0.002076,0.050254,0.048885,0.055031
CoreVoting,10,5,0.059987,0.010897,0.009552,0.065007,0.046768,0.070043
Dai,0,5,0.155006,0.012682,0.011116,0.156769,0.141129,0.171725
Dai,2,5,0.160854,0.020079,0.017600,0.150457,0.147625,0.195014
Dai,5,5,0.161417,0.015627,0.013698,0.156721,0.146944,0.185383
Dai,10,5,0.157020,0.010543,0.009242,0.149942,0.149172,0.171738
DapiServer,0,5,0.082809,0.015930,0.013963,0.076151,0.071466,0.110617
DapiServer,2,5,0.080767,0.011974,0.010496,0.075171,0.074791,0.102147
DapiServer,5,5,0.081753,0.011425,0.010015,0.077129,0.074569,0.101817
DapiServer,10,5,0.078928,0.003445,0.003020,0.077596,0.075033,0.083481
DeltaNeutralPancakeWorker02,0,5,0.148628,0.002448,0.002146,0.149549,0.144546,0.150935
DeltaNeutralPancakeWorker02,2,5,0.154751,0.017863,0.015658,0.147714,0.144878,0.186637
DeltaNeutralPancakeWorker02,5,5,0.158381,0.013450,0.011790,0.150683,0.146536,0.176569
DeltaNeutralPancakeWorker02,10,5,0.148102,0.002065,0.001810,0.147801,0.146295,0.151617
Dripper,0,5,0.025193,0.011383,0.009978,0.020396,0.018674,0.045460
Dripper,2,5,0.021560,0.001374,0.001205,0.021063,0.020485,0.023876
Dripper,5,5,0.021713,0.001417,0.001242,0.021369,0.020314,0.024084
Dripper,10,5,0.020675,0.000271,0.000237,0.020709,0.020264,0.020983
Edentoken,0,5,0.136494,0.003411,0.002990,0.136253,0.132971,0.142089
Edentoken,2,5,0.142887,0.009553,0.008373,0.137019,0.133990,0.153627
Edentoken,5,5,0.148986,0.014996,0.013145,0.152628,0.132570,0.163625
Edentoken,10,5,0.140539,0.012128,0.010631,0.133766,0.128585,0.153752
GovStakingStorage,0,5,0.088524,0.016926,0.014836,0.082078,0.078669,0.118676
GovStakingStorage,2,5,0.088256,0.009936,0.008709,0.085208,0.079161,0.104830
GovStakingStorage,5,5,0.083318,0.002411,0.002113,0.082981,0.080382,0.086966
GovStakingStorage,10,5,0.084963,0.005912,0.005182,0.083153,0.080006,0.095117
GreenHouse,0,5,0.055151,0.001838,0.001611,0.055218,0.052542,0.057707
GreenHouse,2,5,0.061756,0.009601,0.008416,0.058473,0.055107,0.078736
GreenHouse,5,5,0.058689,0.002793,0.002448,0.057319,0.056086,0.062472
GreenHouse,10,5,0.058191,0.002592,0.002272,0.057558,0.055538,0.061432
HubPool,0,5,0.120929,0.013395,0.011742,0.116285,0.110460,0.144228
HubPool,2,5,0.122426,0.013158,0.011534,0.120033,0.111023,0.145002
HubPool,5,5,0.121807,0.006706,0.005878,0.119545,0.115465,0.131240
HubPool,10,5,0.119893,0.003683,0.003228,0.119669,0.114414,0.123704
Lock,0,5,0.198585,0.015060,0.013201,0.193261,0.186391,0.222263
Lock,2,5,0.197367,0.011814,0.010355,0.192195,0.188357,0.217280
Lock,5,5,0.203668,0.014610,0.012807,0.197527,0.190063,0.222245
Lock,10,5,0.210946,0.016216,0.014214,0.217714,0.192933,0.227483
LockupContract,0,5,0.070660,0.009520,0.008344,0.068171,0.061594,0.086867
LockupContract,2,5,0.068310,0.001225,0.001074,0.067748,0.067375,0.070362
LockupContract,5,5,0.073345,0.012756,0.011181,0.067486,0.067114,0.096138
LockupContract,10,5,0.069870,0.002249,0.001972,0.069296,0.067379,0.073500
Meter_flat,0,5,0.056644,0.001498,0.001313,0.056163,0.054648,0.058198
Meter_flat,2,5,0.058234,0.001486,0.001303,0.057908,0.056319,0.060424
Meter_flat,5,5,0.061721,0.010246,0.008981,0.057589,0.056233,0.080019
Meter_flat,10,5,0.059413,0.002426,0.002127,0.058799,0.057558,0.063619
MockChainlinkOracle,0,5,0.071991,0.009805,0.008594,0.068385,0.066538,0.089445
MockChainlinkOracle,2,5,0.067849,0.001597,0.001400,0.067439,0.066113,0.070234
MockChainlinkOracle,5,5,0.066372,0.001191,0.001044,0.066626,0.064338,0.067295
MockChainlinkOracle,10,5,0.068635,0.002117,0.001855,0.067929,0.066407,0.071867
OptimisticGrants,0,5,0.095378,0.003358,0.002944,0.095037,0.091857,0.099252
OptimisticGrants,2,5,0.100623,0.010697,0.009376,0.094735,0.091350,0.116668
OptimisticGrants,5,5,0.099069,0.009309,0.008159,0.095185,0.093423,0.115506
OptimisticGrants,10,5,0.101234,0.009700,0.008503,0.098592,0.093539,0.118071
PercentageFeeModel,0,5,0.217640,0.011693,0.010250,0.215189,0.206337,0.233557
PercentageFeeModel,2,5,0.227985,0.016584,0.014537,0.232394,0.209431,0.251085
PercentageFeeModel,5,5,0.218907,0.007804,0.006840,0.215787,0.213293,0.232317
PercentageFeeModel,10,5,0.222462,0.017147,0.015030,0.211237,0.209030,0.243086
PoolKeeper,0,5,0.052623,0.001961,0.001719,0.052199,0.050419,0.054663
PoolKeeper,2,5,0.056356,0.004683,0.004105,0.055608,0.052202,0.063970
PoolKeeper,5,5,0.057263,0.004603,0.004035,0.055750,0.054256,0.065315
PoolKeeper,10,5,0.056174,0.004344,0.003808,0.055046,0.052067,0.063550
ThorusBond,0,5,0.055466,0.011382,0.009977,0.051042,0.048889,0.075759
ThorusBond,2,5,0.057022,0.009401,0.008240,0.053845,0.049601,0.073199
ThorusBond,5,5,0.053460,0.002654,0.002326,0.052327,0.050866,0.056984
ThorusBond,10,5,0.053044,0.003696,0.003239,0.053070,0.049140,0.058926
ThorusLottery,0,5,0.063179,0.003960,0.003471,0.061270,0.060635,0.070144
ThorusLottery,2,5,0.065672,0.003320,0.002910,0.064395,0.062639,0.070374
ThorusLottery,5,5,0.074106,0.014285,0.012522,0.067695,0.066682,0.099556
ThorusLottery,10,5,0.087350,0.022930,0.020099,0.074332,0.070977,0.124176
TimeLockPool,0,5,0.194775,0.016130,0.014138,0.186036,0.178195,0.214573
TimeLockPool,2,5,0.196371,0.008432,0.007391,0.198315,0.186833,0.206543
TimeLockPool,5,5,0.221018,0.073693,0.064595,0.188941,0.179164,0.351997
TimeLockPool,10,5,0.204354,0.030989,0.027163,0.186912,0.177955,0.252109
WASTR,0,5,0.163337,0.001942,0.001702,0.162484,0.161199,0.165750
WASTR,2,5,0.165621,0.002762,0.002421,0.165363,0.162040,0.169789
WASTR,5,5,0.233414,0.146036,0.128007,0.168443,0.158571,0.493949
WASTR,10,5,0.175755,0.021528,0.018870,0.167251,0.162000,0.213755
