contract,mutation_type,pattern,delta,f90_target,f90_width,converged,num_intervals,exec_time,success
GovStakingStorage_c,add_to_sub,diff,10,info.rewardMultiplier,inf,False,4,0.16,True
GovStakingStorage_c,add_to_sub,diff,15,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,add_to_sub,diff,1,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,add_to_sub,diff,3,info.rewardMultiplier,inf,False,4,0.10,True
GovStakingStorage_c,add_to_sub,diff,6,info.rewardMultiplier,inf,False,4,0.09,True
GovStakingStorage_c,add_to_sub,overlap,10,info.rewardMultiplier,inf,False,4,0.11,True
GovStakingStorage_c,add_to_sub,overlap,15,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,add_to_sub,overlap,1,info.rewardMultiplier,inf,False,4,0.09,True
GovStakingStorage_c,add_to_sub,overlap,3,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,add_to_sub,overlap,6,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,original_has_division,diff,10,info.rewardMultiplier,inf,False,4,0.09,True
GovStakingStorage_c,original_has_division,diff,15,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,original_has_division,diff,1,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,original_has_division,diff,3,info.rewardMultiplier,inf,False,4,0.11,True
GovStakingStorage_c,original_has_division,diff,6,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,original_has_division,overlap,10,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,original_has_division,overlap,15,info.rewardMultiplier,inf,False,4,0.09,True
GovStakingStorage_c,original_has_division,overlap,1,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,original_has_division,overlap,3,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,original_has_division,overlap,6,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,sub_to_add,diff,10,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,sub_to_add,diff,15,info.rewardMultiplier,inf,False,4,0.10,True
GovStakingStorage_c,sub_to_add,diff,1,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,sub_to_add,diff,3,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,sub_to_add,diff,6,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,sub_to_add,overlap,10,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,sub_to_add,overlap,15,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,sub_to_add,overlap,1,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,sub_to_add,overlap,3,info.rewardMultiplier,inf,False,4,0.10,True
GovStakingStorage_c,sub_to_add,overlap,6,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,swap_add_sub,diff,10,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,swap_add_sub,diff,15,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,swap_add_sub,diff,1,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,swap_add_sub,diff,3,info.rewardMultiplier,inf,False,4,0.08,True
GovStakingStorage_c,swap_add_sub,diff,6,info.rewardMultiplier,inf,False,4,0.09,True
