function,annVars,stateSlots,byteOp,c_f,test_range,iter,remix_s,solq_s
_earmarkSomeForMaintenance,4,2,75,0.009,0,1,21.5,40.009
_earmarkSomeForMaintenance,4,2,75,0.009,0,2,21.5,10.009
_earmarkSomeForMaintenance,4,2,75,0.009,2,1,43.0,40.009
_earmarkSomeForMaintenance,4,2,75,0.009,2,2,43.0,10.009
_earmarkSomeForMaintenance,4,2,75,0.009,5,1,107.5,40.009
_earmarkSomeForMaintenance,4,2,75,0.009,5,2,107.5,10.009
_earmarkSomeForMaintenance,4,2,75,0.009,10,1,215.0,40.009
_earmarkSomeForMaintenance,4,2,75,0.009,10,2,215.0,10.009
pushRewardPerGas0,4,2,134,0.1008,0,1,31.333333333333332,40.1008
pushRewardPerGas0,4,2,134,0.1008,0,2,31.333333333333332,10.1008
pushRewardPerGas0,4,2,134,0.1008,2,1,62.666666666666664,40.1008
pushRewardPerGas0,4,2,134,0.1008,2,2,62.666666666666664,10.1008
pushRewardPerGas0,4,2,134,0.1008,5,1,156.66666666666666,40.1008
pushRewardPerGas0,4,2,134,0.1008,5,2,156.66666666666666,10.1008
pushRewardPerGas0,4,2,134,0.1008,10,1,313.3333333333333,40.1008
pushRewardPerGas0,4,2,134,0.1008,10,2,313.3333333333333,10.1008
_burn,3,2,39,0.014,0,1,15.5,30.014
_burn,3,2,39,0.014,0,2,15.5,10.014
_burn,3,2,39,0.014,2,1,31.0,30.014
_burn,3,2,39,0.014,2,2,31.0,10.014
_burn,3,2,39,0.014,5,1,77.5,30.014
_burn,3,2,39,0.014,5,2,77.5,10.014
_burn,3,2,39,0.014,10,1,155.0,30.014
_burn,3,2,39,0.014,10,2,155.0,10.014
updateUserInfo,1,0,180,0.16418,0,1,35.0,10.16418
updateUserInfo,1,0,180,0.16418,0,2,35.0,5.16418
updateUserInfo,1,0,180,0.16418,2,1,70.0,10.16418
updateUserInfo,1,0,180,0.16418,2,2,70.0,5.16418
updateUserInfo,1,0,180,0.16418,5,1,175.0,10.16418
updateUserInfo,1,0,180,0.16418,5,2,175.0,5.16418
updateUserInfo,1,0,180,0.16418,10,1,350.0,10.16418
updateUserInfo,1,0,180,0.16418,10,2,350.0,5.16418
transferFrom_Citrus,4,3,180,0.012,0,1,41.0,40.012
transferFrom_Citrus,4,3,180,0.012,0,2,41.0,10.012
transferFrom_Citrus,4,3,180,0.012,2,1,82.0,40.012
transferFrom_Citrus,4,3,180,0.012,2,2,82.0,10.012
transferFrom_Citrus,4,3,180,0.012,5,1,205.0,40.012
transferFrom_Citrus,4,3,180,0.012,5,2,205.0,10.012
transferFrom_Citrus,4,3,180,0.012,10,1,410.0,40.012
transferFrom_Citrus,4,3,180,0.012,10,2,410.0,10.012
revokeStableMaster,2,2,143,0.17001,0,1,32.83333333333333,20.17001
revokeStableMaster,2,2,143,0.17001,0,2,32.83333333333333,5.1700099999999996
revokeStableMaster,2,2,143,0.17001,2,1,65.66666666666666,20.17001
revokeStableMaster,2,2,143,0.17001,2,2,65.66666666666666,5.1700099999999996
revokeStableMaster,2,2,143,0.17001,5,1,164.16666666666663,20.17001
revokeStableMaster,2,2,143,0.17001,5,2,164.16666666666663,5.1700099999999996
revokeStableMaster,2,2,143,0.17001,10,1,328.33333333333326,20.17001
revokeStableMaster,2,2,143,0.17001,10,2,328.33333333333326,5.1700099999999996
transferFrom_Dai,4,3,180,0.052,0,1,41.0,40.052
transferFrom_Dai,4,3,180,0.052,0,2,41.0,10.052
transferFrom_Dai,4,3,180,0.052,2,1,82.0,40.052
transferFrom_Dai,4,3,180,0.052,2,2,82.0,10.052
transferFrom_Dai,4,3,180,0.052,5,1,205.0,40.052
transferFrom_Dai,4,3,180,0.052,5,2,205.0,10.052
transferFrom_Dai,4,3,180,0.052,10,1,410.0,40.052
transferFrom_Dai,4,3,180,0.052,10,2,410.0,10.052
mint_Dai,3,2,85,0.02099,0,1,23.166666666666664,30.02099
mint_Dai,3,2,85,0.02099,0,2,23.166666666666664,10.02099
mint_Dai,3,2,85,0.02099,2,1,46.33333333333333,30.02099
mint_Dai,3,2,85,0.02099,2,2,46.33333333333333,10.02099
mint_Dai,3,2,85,0.02099,5,1,115.83333333333331,30.02099
mint_Dai,3,2,85,0.02099,5,2,115.83333333333331,10.02099
mint_Dai,3,2,85,0.02099,10,1,231.66666666666663,30.02099
mint_Dai,3,2,85,0.02099,10,2,231.66666666666663,10.02099
calculateUpdatePercentage,2,0,57,0.01303,0,1,14.5,20.01303
calculateUpdatePercentage,2,0,57,0.01303,0,2,14.5,5.01303
calculateUpdatePercentage,2,0,57,0.01303,2,1,29.0,20.01303
calculateUpdatePercentage,2,0,57,0.01303,2,2,29.0,5.01303
calculateUpdatePercentage,2,0,57,0.01303,5,1,72.5,20.01303
calculateUpdatePercentage,2,0,57,0.01303,5,2,72.5,5.01303
calculateUpdatePercentage,2,0,57,0.01303,10,1,145.0,20.01303
calculateUpdatePercentage,2,0,57,0.01303,10,2,145.0,5.01303
transferFrom_Eden,4,3,180,0.02108,0,1,41.0,40.02108
transferFrom_Eden,4,3,180,0.02108,0,2,41.0,10.02108
transferFrom_Eden,4,3,180,0.02108,2,1,82.0,40.02108
transferFrom_Eden,4,3,180,0.02108,2,2,82.0,10.02108
transferFrom_Eden,4,3,180,0.02108,5,1,205.0,40.02108
transferFrom_Eden,4,3,180,0.02108,5,2,205.0,10.02108
transferFrom_Eden,4,3,180,0.02108,10,1,410.0,40.02108
transferFrom_Eden,4,3,180,0.02108,10,2,410.0,10.02108
removeUser,4,4,180,0.14307,0,1,43.0,40.14307
removeUser,4,4,180,0.14307,0,2,43.0,10.14307
removeUser,4,4,180,0.14307,2,1,86.0,40.14307
removeUser,4,4,180,0.14307,2,2,86.0,10.14307
removeUser,4,4,180,0.14307,5,1,215.0,40.14307
removeUser,4,4,180,0.14307,5,2,215.0,10.14307
removeUser,4,4,180,0.14307,10,1,430.0,40.14307
removeUser,4,4,180,0.14307,10,2,430.0,10.14307
updateRewardMultiplier,9,2,180,0.12192,0,1,39.0,90.12192
updateRewardMultiplier,9,2,180,0.12192,0,2,39.0,25.12192
updateRewardMultiplier,9,2,180,0.12192,2,1,78.0,90.12192
updateRewardMultiplier,9,2,180,0.12192,2,2,78.0,25.12192
updateRewardMultiplier,9,2,180,0.12192,5,1,195.0,90.12192
updateRewardMultiplier,9,2,180,0.12192,5,2,195.0,25.12192
updateRewardMultiplier,9,2,180,0.12192,10,1,390.0,90.12192
updateRewardMultiplier,9,2,180,0.12192,10,2,390.0,25.12192
pending,7,0,180,0.09651,0,1,35.0,70.09651
pending,7,0,180,0.09651,0,2,35.0,20.09651
pending,7,0,180,0.09651,2,1,70.0,70.09651
pending,7,0,180,0.09651,2,2,70.0,20.09651
pending,7,0,180,0.09651,5,1,175.0,70.09651
pending,7,0,180,0.09651,5,2,175.0,20.09651
pending,7,0,180,0.09651,10,1,350.0,70.09651
pending,7,0,180,0.09651,10,2,350.0,20.09651
